canonical_id,record_id_a,record_id_b,true_action,match_category,notes
ENTITY_001,V001,V002,AUTO_MERGE,DETERMINISTIC,"Same EIN; name is all-caps variant of same legal name"
ENTITY_002,V003,C001,AUTO_MERGE,DETERMINISTIC,"Vendor+Customer for same company; same EIN; both Global Steel"
ENTITY_003,V004,V005,AUTO_MERGE,DETERMINISTIC,"Precision Parts Co vs Company; same EIN; same address"
ENTITY_004,V006,V007,AUTO_MERGE,DETERMINISTIC,"Post-acquisition rename; same EIN; same IBAN"
ENTITY_005,V008,V009,AUTO_MERGE,DETERMINISTIC,"Midwest Chemical Supply vs Supply Co; same EIN; address variation"
ENTITY_006,V010,V011,AUTO_MERGE,DETERMINISTIC,"North Star Engineering + LLC suffix; same EIN; same IBAN"
ENTITY_007,V012,C002,AUTO_MERGE,DETERMINISTIC,"Vendor+Customer; Great Lakes Polymers + LLC; same EIN"
ENTITY_008,V013,V014,AUTO_MERGE,DETERMINISTIC,"Apex Tooling Corp vs Corporation; same EIN"
ENTITY_009,V015,V016,AUTO_MERGE,DETERMINISTIC,"Heritage Foods LLC exact dup; same EIN+IBAN; different contact email"
ENTITY_010,V017,V018,AUTO_MERGE,DETERMINISTIC,"Valley Packaging Inc vs Incorporated; same EIN"
ENTITY_011,V019,V020,AUTO_MERGE,HIGH_FUZZY,"Summit Logistics; same IBAN; missing EIN in V020"
ENTITY_012,V021,V022,AUTO_MERGE,HIGH_FUZZY,"Tri-State vs Tri State; same address+phone; missing EIN in V022"
ENTITY_013,V023,V024,AUTO_MERGE,HIGH_FUZZY,"Johnson Industrial LLC vs Industrial; same IBAN; missing EIN in V024"
ENTITY_014,V025,V026,AUTO_MERGE,HIGH_FUZZY,"Keystone Materials Corp vs Corporation; same address+phone; no EIN in V026"
ENTITY_015,V027,V028,AUTO_MERGE,HIGH_FUZZY,"Riverside Fabrication Inc vs Riverside Fabrication; same IBAN+phone"
ENTITY_016,V029,V030,ESCALATE,MEDIUM_FUZZY,"Continental Metals vs Continental Metal; 1 letter diff; different street numbers AND different phones; could be typo or different entity"
ENTITY_017,V031,V032,ESCALATE,MEDIUM_FUZZY,"Pioneer Distributing vs Distribution Co; missing address in V032; cannot confirm same location"
ENTITY_018,V033,C003,ESCALATE,MEDIUM_FUZZY,"Allied Manufacturing vs Allied Manufacturing Group; same address+phone but Group suffix may indicate subsidiary"
ENTITY_019,V034,V035,ESCALATE,MEDIUM_FUZZY,"National West Supply vs Supplies Co; similar name + city; different postal codes"
ENTITY_020,V036,V037,ESCALATE,MEDIUM_FUZZY,"Lakeside Chemicals LLC vs Lakeside Chemical Corp; different legal form; slightly different address"
FALSE_POS_001,V038,V039,DISTINCT,FALSE_POSITIVE,"Pacific Rim Trading LLC vs Corp; DIFFERENT tax IDs (95-1234567 vs 95-7654321); different addresses; different companies"
FALSE_POS_002,V040,V041,DISTINCT,FALSE_POSITIVE,"Continental Foods Group vs Distribution LLC; DIFFERENT EINs; same address = parent/subsidiary not same entity; do not auto-merge"
FALSE_POS_003,V042,V043,DISTINCT,FALSE_POSITIVE,"National Parts Supply vs National Parts Inc; generic name; completely different addresses and phones; probably different companies"
